question_id,category,prompt
1,generic,How can I improve my time management skills?
2,generic,What are the most effective ways to deal with stress?
3,generic,What are the main differences between Python and JavaScript programming languages?
4,generic,How can I increase my productivity while working from home?
5,generic,Can you explain the basics of quantum computing?
6,generic,What are the differences between plant-based and animal-based protein sources?
7,generic,How can I develop my critical thinking skills?
8,generic,What are the major challenges faced by the education sector today?
9,generic,What are the primary factors that influence consumer behavior?
10,generic,What are the most effective strategies for conflict resolution in the workplace?
11,knowledge,What are some potential implications of using a single-use plastic bottle versus a reusable bottle on both the environment and human health?
12,knowledge,What factors would you consider when designing an inclusive and accessible public transportation system?
13,knowledge,How can governments utilize fiscal and monetary policies to combat economic recessions?
14,knowledge,How do language and cultural barriers affect the way people communicate and form relationships in multicultural societies?
15,knowledge,Describe a scenario where artificial intelligence could be used to improve the quality and efficiency of healthcare delivery.
16,knowledge,"Explain the process of gene editing using CRISPR-Cas9 technology, and discuss its potential applications and ethical implications."
17,knowledge,"How do vaccinations work to protect individuals and communities from infectious diseases, and what is herd immunity?"
18,knowledge,"How do social media platforms influence the way people consume and share news, and what are the potential implications for the spread of misinformation?"
19,knowledge,"How do cultural, social, and economic factors influence people's food choices, and how can this knowledge be used to promote healthier diets?"
20,knowledge,Explain the process of natural selection and how it contributes to the evolution and adaptation of species.
21,roleplay,How would you introduce yourself as a medieval knight at a royal banquet?
22,roleplay,"As a pirate captain, what would you say to your crew to motivate them to search for hidden treasure?"
23,roleplay,"If you were a Shakespearean character, how would you declare your love for someone in a soliloquy?"
24,roleplay,"As a superhero, how would you explain your origin story to a curious child?"
25,roleplay,Imagine you are a time traveler from the year 3000. What technological advancements would you tell people about?
26,roleplay,"As a sports commentator, describe the winning play in the final seconds of a championship game."
27,roleplay,Pretend to be a world-famous chef. How would you describe your signature dish to a panel of judges?
28,roleplay,You are a mountain climber reaching the summit of Mount Everest. Describe your emotions and the view from the top.
29,roleplay,"As a space colonist on Mars, describe your daily life and the challenges you face living on another planet."
30,roleplay,Pretend to be a character in a post-apocalyptic world. Describe how you survive and the allies you encounter.
31,common-sense,"How can you determine if a restaurant is popular among locals or mainly attracts tourists, and why might this information be useful?"
32,common-sense,What are some subtle clues that suggest someone is pretending to understand a topic or conversation when they are actually confused or uninformed?
33,common-sense,Why might someone choose to use a paper map or ask for directions instead of relying on a GPS device or smartphone app?
34,common-sense,How can you determine if a person is genuinely interested in a conversation or simply being polite?
35,common-sense,"Why might someone prefer to shop at a small, locally-owned business instead of a large chain store, even if the prices are higher?"
36,common-sense,"How can you assess the credibility of a source of information, such as a news article or blog post, without relying solely on the reputation of the author or publisher?"
37,common-sense,"Why do some people enjoy the sensation of being scared, such as by watching horror movies or going on roller coasters, while others avoid these experiences?"
38,common-sense,How can observing the behavior of other people in a social situation provide clues about cultural norms and expectations?
39,common-sense,"Do we have a moral obligation to explore space, or should we focus on solving Earth's problems first?"
40,common-sense,"In a world where automation is becoming increasingly prevalent, is it more important to prioritize job creation or technological progress?"
